GD,Genl Dynamics,Industrials
GE,Genl Electric,Industrials
GGP,Genl Growth Properties,Financials
GIS,Genl Mills,Consumer Staples
GPC,Genuine Parts,Consumer Discretionary
GNW,Genworth Financial,Financials
GILD,Gilead Sciences,Health Care
GS,Goldman Sachs Group,Financials
GT,Goodyear Tire & Rub,Consumer Discretionary
GOOG,Google'C',Information Technology
GWW,Grainger (W.W.),Industrials
HAL,Halliburton Co,Energy
HOG,Harley-Davidson,Consumer Discretionary
HAR,Harman International,Consumer Discretionary
HRS,Harris Corp,Information Technology
HIG,Hartford Finl Services Gp,Financials
HAS,Hasbro,Consumer Discretionary
HCP,HCP,Financials
HCN,Health Care REIT,Financials
HP,Helmerich & Payne,Energy
HSY,Hershey Co,Consumer Staples
HES,Hess Corp,Energy
HPQ,Hewlett-Packard,Information Technology
HD,Home Depot,Consumer Discretionary
HON,Honeywell International,Industrials
HRL,Hormel Foods,Consumer Staples
HSP,Hospira,Health Care
HST,Host Hotels & Resorts,Financials
HCBK,Hudson City Bancorp,Financials
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
ITW,Illinois Tool Works,Industrials
IR,Ingersoll-Rand Plc,Industrials
TEG,Integrys Energy Group,Utilities
INTC,Intel Corp,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,International Bus. Machines,Information Technology
IFF,International Flavors/Fragr,Materials
IP,International Paper,Materials
IPG,Interpublic GroupCompanies,Consumer Discretionary
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
IVZ,INVESCO Ltd,Financials
IRM,Iron Mountain,Industrials
JBL,Jabil Circuit,Information Technology
JEC,Jacobs Engineering Group,Industrials
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls,Consumer Discretionary
JPM,JPMorgan Chase & Co,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg Co,Consumer Staples
GMCR,Keurig Green Mountain,Consumer Staples
KEY,KeyCorp,Financials
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Financials
KMI,Kinder Morgan,Energy
KLAC,KLA-Tencor Corp,Information Technology
KSS,Kohl's Corp,Consumer Discretionary
KRFT,Kraft Foods Group,Consumer Staples
KR,Kroger Co,Consumer Staples
LB,L Brands,Consumer Discretionary
LLL,L-3 Communications Holdings,Industrials
LH,Laboratory Corp American Holdings,Health Care
LRCX,Lam Research,Information Technology
LM,Legg Mason,Financials
LEG,Leggett & Platt,Consumer Discretionary
LEN,Lennar Corp,Consumer Discretionary
LUK,Leucadia National,Financials
LLY,Lilly (Eli),Health Care
LNC,Lincoln National,Financials
LLTC,Linear Technology Corp,Information Technology
LMT,Lockheed Martin,Industrials
L,Loews Corp,Financials
LO,Lorillard,Consumer Staples
LOW,Lowe'sCompanies,Consumer Discretionary
LYB,LyondellBasell Industries,Materials
MTB,M&T Bank,Financials
MAC,Macerich Co,Financials
M,Macy's,Consumer Discretionary
MNK,Mallinckrodt plc,Health Care
