RAI,REYNOLDS AMERICAN INC,NYSE,62251343265
DVN,DEVON ENERGY CORP,NYSE,19880796000
GOOGL,GOOGLE INC-CL A,NASDAQ,4.43297E+11
RHT,RED HAT INC,NYSE,14364911863
HCBK,HUDSON CITY BANCORP INC,NASDAQ,5438282569
NFLX,NETFLIX INC,NASDAQ,47766270352
ALLE,ALLEGION PLC,NYSE,6006472335
A,AGILENT TECHNOLOGIES INC,NYSE,13660861791
ANTM,ANTHEM INC,NYSE,39965283555
CME,CME GROUP INC,NASDAQ,32732997030
JNPR,JUNIPER NETWORKS INC,NYSE,11122551726
BLK,BLACKROCK INC,NYSE,55811669816
DTE,DTE ENERGY COMPANY,NYSE,14410991346
NDAQ,NASDAQ OMX GROUP/THE,NASDAQ,8597835440
PM,PHILIP MORRIS INTERNATIONAL,NYSE,1.32703E+11
TWC,TIME WARNER CABLE,NYSE,54124489197
CRM,SALESFORCE.COM INC,NYSE,47520640000
MET,METLIFE INC,NYSE,62184576430
MON,MONSANTO CO,NYSE,47850122377
COH,COACH INC,NYSE,8407423604
FLR,FLUOR CORP,NYSE,6825378208
DNB,DUN & BRADSTREET CORP,NYSE,4475568611
EW,EDWARDS LIFESCIENCES CORP,NYSE,16244541220
AMP,AMERIPRISE FINANCIAL INC,NYSE,22382792470
XEL,XCEL ENERGY INC,NYSE,17514007639
COL,ROCKWELL COLLINS INC,NYSE,11226819932
FTI,FMC TECHNOLOGIES INC,NYSE,7492321105
ZBH,ZIMMER BIOMET HOLDINGS INC,NYSE,21207393947
CBG,CBRE GROUP INC - A,NYSE,12569917348
SIG,SIGNET JEWELERS LTD,NYSE,9720255501
MA,MASTERCARD INC-CLASS A,NYSE,1.10312E+11
GME,GAMESTOP CORP-CLASS A,NYSE,4797062292
KMX,CARMAX INC,NYSE,13341718069
ICE,INTERCONTINENTAL EXCHANGE IN,NYSE,25587841193
FIS,FIDELITY NATIONAL INFO SERV,NYSE,18564041577
CMG,CHIPOTLE MEXICAN GRILL INC,NYSE,23139584496
POM,PEPCO HOLDINGS INC,NYSE,6787395734
WYNN,WYNN RESORTS LTD,NASDAQ,10234907323
HSP,HOSPIRA INC,NYSE,15482813340
AIZ,ASSURANT INC,NYSE,5184062247
NRG,NRG ENERGY INC,NYSE,7426923829
GNW,GENWORTH FINANCIAL INC-CL A,NYSE,3466798765
MNST,MONSTER BEVERAGE CORP,NASDAQ,31815359631
RF,REGIONS FINANCIAL CORP,NYSE,13899483953
TDC,TERADATA CORP,NYSE,5187260000
MOS,MOSAIC CO/THE,NYSE,15612717292
EXPE,EXPEDIA INC,NASDAQ,15830509109
DISCA,DISCOVERY COMMUNICATIONS-A,NASDAQ,20427674558
CF,CF INDUSTRIES HOLDINGS INC,NYSE,13890194105
VIAB,VIACOM INC-CLASS B,NASDAQ,22294237222
GOOG,GOOGLE INC-CL C,NASDAQ,4.43297E+11
WYN,WYNDHAM WORLDWIDE CORP,NYSE,9661455505
SE,SPECTRA ENERGY CORP,NYSE,19649747320
FSLR,FIRST SOLAR INC,NASDAQ,4404855553
ESV,ENSCO PLC-CL A,NYSE,3858061039
MJN,MEAD JOHNSON NUTRITION CO,NYSE,17836999127
TEL,TE CONNECTIVITY LTD,NYSE,24529358815
DFS,DISCOVER FINANCIAL SERVICES,NYSE,24007168145
TRIP,TRIPADVISOR INC,NASDAQ,11361998223
DPS,DR PEPPER SNAPPLE GROUP INC,NYSE,15387324974
SNI,SCRIPPS NETWORKS INTER-CL A,NYSE,8038899432
V,VISA INC-CLASS A SHARES,NYSE,1.67915E+11
XYL,XYLEM INC,NYSE,6143746261
MPC,MARATHON PETROLEUM CORP,NYSE,28523541015
TSCO,TRACTOR SUPPLY COMPANY,NASDAQ,12461220350
LVLT,LEVEL 3 COMMUNICATIONS INC,NYSE,17918393291
RIG,TRANSOCEAN LTD,NYSE,4512816178
ESS,ESSEX PROPERTY TRUST INC,NYSE,14805528676
GGP,GENERAL GROWTH PROPERTIES,NYSE,24140170401
O,REALTY INCOME CORP,NYSE,11456908161
STX,SEAGATE TECHNOLOGY,NASDAQ,16332453585
WRK,WESTROCK CO,NYSE,16512638000
WDC,WESTERN DIGITAL CORP,NASDAQ,19823800351
FOSL,FOSSIL GROUP INC,NASDAQ,3147781729
JBHT,HUNT (JB) TRANSPRT SVCS INC,NASDAQ,9812734417
LRCX,LAM RESEARCH CORP,NASDAQ,11991562160
MHK,MOHAWK INDUSTRIES INC,NYSE,14678775960
PNR,PENTAIR PLC,NYSE,10841166943
VRTX,VERTEX PHARMACEUTICALS INC,NASDAQ,33391620317
FB,FACEBOOK INC-A,NASDAQ,2.65388E+11
URI,UNITED RENTALS INC,NYSE,6225751837
NAVI,NAVIENT CORP,NASDAQ,5857353053
DAL,DELTA AIR LINES INC,NYSE,36373565722
BXLT,BAXALTA INC,NYSE,22423462296
MNK,MALLINCKRODT PLC,NYSE,14529459285
GMCR,KEURIG GREEN MOUNTAIN INC,NASDAQ,11620036581
MAC,MACERICH CO/THE,NYSE,12507467672
MLM,MARTIN MARIETTA MATERIALS,NYSE,10562162276
PYPL,PAYPAL HOLDINGS INC,NASDAQ,48005995481
ALXN,ALEXION PHARMACEUTICALS INC,NASDAQ,44265246904
CPGX,COLUMBIA PIPELINE GROUP,NYSE,9042511548
ENDP,ENDO INTERNATIONAL PLC,NASDAQ,18111631425
NWSA,NEWS CORP - CLASS A,NASDAQ,8359255736
CCI,CROWN CASTLE INTL CORP,NYSE,27328360342
DLPH,DELPHI AUTOMOTIVE PLC,NYSE,21940342760
AAP,ADVANCE AUTO PARTS INC,NYSE,12719108678
KORS,MICHAEL KORS HOLDINGS LTD,NYSE,7699883288
ADS,ALLIANCE DATA SYSTEMS CORP,NYSE,16959071990
GRMN,GARMIN LTD,NASDAQ,8624808976
XEC,CIMAREX ENERGY CO,NYSE,9684015206
ZTS,ZOETIS INC,NYSE,24238270040
EQIX,EQUINIX INC,NASDAQ,16112974789
DISCK,DISCOVERY COMMUNICATIONS-C,NASDAQ,20427674558
