MMM,3M Co,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture Plc,Information Technology
ACE,ACE Limited,Financials
ACT,Actavis Plc,Health Care
ADBE,Adobe Systems,Information Technology
ADT,ADT Corp (The),Industrials
AES,AES Corp,Utilities
AET,Aetna,Health Care
AMG,Affiliated Managers Group,Financials
AFL,AFLAC,Financials
A,Agilent Technologies,Health Care
GAS,AGL Resources,Utilities
APD,Air Products & Chemicals,Materials
ARG,Airgas,Materials
AKAM,Akamai Technologies,Information Technology
AA,Alcoa,Materials
ALXN,Alexion Pharmaceuticals,Health Care
ALLE,Allegion Plc,Industrials
AGN,Allergan,Health Care
ADS,Alliance Data Systems,Information Technology
ALL,Allstate Corp,Financials
ALTR,Altera Corp,Information Technology
MO,Altria Group,Consumer Staples
AMZN,Amazon.com,Consumer Discretionary
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AXP,American Express,Financials
AIG,American International Group,Financials
AMT,American Tower,Financials
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,Health Care
AME,AMETEK,Industrials
AMGN,Amgen,Health Care
APH,Amphenol Corp A,Information Technology
APC,Anadarko Petroleum,Energy
ADI,Analog Devices,Information Technology
AON,Aon Plc,Financials
APA,Apache Corp,Energy
AIV,Apartment Investment & Mgmt,Financials
AAPL,Apple,Information Technology
AMAT,Applied Materials,Information Technology
ADM,Archer-Daniels-Midland,Consumer Staples
AIZ,Assurant,Financials
T,AT&T,Telecommunication Services
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Information Technology
AN,AutoNation,Consumer Discretionary
AZO,AutoZone,Consumer Discretionary
AVGO,Avago Technologies,Information Technology
AVB,AvalonBay Communities,Financials
AVY,Avery Dennison Corp,Materials
AVP,Avon Products,Consumer Staples
BHI,Baker Hughes,Energy
BLL,Ball Corp,Materials
BAC,Bank of America,Financials
BK,Bank of New York Mellon,Financials
BCR,Bard (C.R.),Health Care
BAX,Baxter International,Health Care
BBT,BB&T Corp,Financials
BDX,Becton Dickinson,Health Care
BBBY,Bed Bath & Beyond,Consumer Discretionary
BMS,Bemis Co,Materials
BRK-B,Berkshire Hathaway,Financials
BBY,Best Buy,Consumer Discretionary
BIIB,Biogen Idec,Health Care
BLK,BlackRock,Financials
BA,Boeing Co,Industrials
BWA,Borg Warner,Consumer Discretionary
BXP,Boston Properties,Financials
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
BRCM,Broadcom Corp,Information Technology
BF-B,Brown-Forman,Consumer Staples
CHRW,C.H. Robinson Worldwide,Industrials
CA,CA,Information Technology
CVC,Cablevision Systems,Consumer Discretionary
COG,Cabot Oil & Gas,Energy
CAM,Cameron International,Energy
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health,Health Care
CFN,CareFusion Corp,Health Care
KMX,CarMax,Consumer Discretionary
CCL,Carnival Corp,Consumer Discretionary
CAT,Caterpillar,Industrials
CBG,CBRE Group,Financials
CBS,CBS Corp,Consumer Discretionary
CELG,Celgene Corp,Health Care
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink,Telecommunication Services
CERN,Cerner Corp,Health Care
CF,CF Industries Holdings,Materials
CHK,Chesapeake Energy,Energy
CVX,Chevron Corp,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Corp,Financials
CI,Cigna Corp,Health Care
XEC,Cimarex Energy,Energy
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corp,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup,Financials
CTXS,Citrix Systems,Information Technology
CLX,Clorox Co,Consumer Staples
CME,CME Group,Financials
CMS,CMS Energy,Utilities
COH,Coach,Consumer Discretionary
KO,Coca-Cola Co,Consumer Staples
CCE,Coca-Cola Enterprises,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp,Consumer Discretionary
CMA,Comerica,Financials
